"","Var.1","Library","City.ortown","Image","Dategranted","Grantamount","Location","Notes","state","Municipality","Status","Town"
"374",12,"Boonville","Boonville",NA,"Nov 3, 1913","$12,000","121 E. Locust St.","Now a police station","Indiana",NA,NA,NA
"375",13,"Boswell","Boswell",NA,"Nov 30, 1910","$8,000","101 E. Main St.40°31′07″N 87°22′54″W﻿ / ﻿40.518503°N 87.381569°W﻿ / 40.518503; -87.381569﻿ (Boswell)","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"376",14,"Brazil","Brazil",NA,"Mar 14, 1902","$20,000","204 N. Walnut St.","","Indiana",NA,NA,NA
"377",15,"Brook","Brook",NA,"May 21, 1913","$7,000","100 W. Main St.40°51′57″N 87°21′50″W﻿ / ﻿40.865895°N 87.363828°W﻿ / 40.865895; -87.363828﻿ (Brook)","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"378",16,"Brookston","Brookston",NA,"Sep 29, 1915","$10,000","111 W. 2nd St.40°36′12″N 86°52′06″W﻿ / ﻿40.603437°N 86.868274°W﻿ / 40.603437; -86.868274﻿ (Brookston)","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"379",17,"Brookville","Brookville",NA,"Nov 30, 1910","$10,000","919 Main St.","","Indiana",NA,NA,NA
"380",18,"Brownsburg","Brownsburg",NA,"Apr 3, 1912","$12,500","104 E. Main St.","Now houses the Hendricks County Solid Waste Management District office.","Indiana",NA,NA,NA
"381",19,"Butler","Butler",NA,"Dec 8, 1913","$10,000","201 E. Main St.","Used by the DeKalb County Historical Society. (May 2011)","Indiana",NA,NA,NA
"382",20,"Carlisle","Carlisle",NA,"Feb 6, 1915","$10,000","","Burned down in 1965","Indiana",NA,NA,NA
"383",21,"Carmel","Carmel",NA,"Mar 14, 1913","$11,000","40 E. Main St.","Open 1914–1971, now a restaurant","Indiana",NA,NA,NA
"384",22,"Clinton","Clinton",NA,"Feb 25, 1908","$12,500","313 S. 4th St.","","Indiana",NA,NA,NA
"385",23,"Coatesville","Coatesville",NA,"Apr 13, 1914","$8,000","","Open 1916–1948, destroyed by a tornado","Indiana",NA,NA,NA
"386",24,"Colfax","Colfax",NA,"Sep 29, 1915","$9,000","207 S. Clark St.","Still used as the public library. (April 2011)","Indiana",NA,NA,NA
"387",25,"Columbus","Columbus",NA,"Dec 30, 1901","$15,000","","Demolished 1970","Indiana",NA,NA,NA
"388",26,"Connersville","Connersville",NA,"Dec 13, 1907","$20,000","","","Indiana",NA,NA,NA
"389",27,"Converse","Converse",NA,"Nov 9, 1916","$9,000","100 S. Jefferson St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"390",28,"Corydon","Corydon",NA,"Sep 27, 1912","$7,500","117 W. Beaver St.","Open 1914–1998","Indiana",NA,NA,NA
"391",29,"Covington","Covington",NA,"Mar 14, 1913","$10,000","622 S. 5th St.","","Indiana",NA,NA,NA
"392",30,"Crawfordsville","Crawfordsville",NA,"Mar 8, 1901","$25,000","222 S. Washington St.","Now the Carnegie Museum of Montgomery County.","Indiana",NA,NA,NA
"393",31,"Crown Point","Crown Point",NA,"Feb 28, 1906","$12,000","223 S. Main St.","Open 1908–1974","Indiana",NA,NA,NA
"394",32,"Culver","Culver",NA,"Jan 6, 1915","$10,000","107 N. Main St.","Opened 1915","Indiana",NA,NA,NA
"395",33,"Danville","Danville",NA,"Mar 14, 1902","$10,000","101 S. Indiana St.","Major renovation in 1999 keeping with original architectural design. Under renovation in 2016.","Indiana",NA,NA,NA
"396",34,"Darlington","Darlington",NA,"Feb 6, 1915","$10,000","203 W. Main St.","","Indiana",NA,NA,NA
"397",35,"Decatur","Decatur",NA,"Mar 8, 1904","$12,000","122 S. 3rd St.","Opened 1906, now county court office","Indiana",NA,NA,NA
"398",36,"Delphi","Delphi",NA,"Dec 30, 1904","$10,000","222 E. Main St.","","Indiana",NA,NA,NA
"399",37,"Earl Park","Earl Park",NA,"Nov 21, 1911","$7,500","102 E. 5th St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"400",38,"East Chicago Baring Avenue Branch","East Chicago",NA,"Jan 13, 1903","$40,000","1008 W. Chicago Ave.","","Indiana",NA,NA,NA
"401",39,"East Chicago Indiana Harbor Branch","East Chicago",NA,"Jan 13, 1903","$20,000","3605 Grand Ave.","Now the East Chicago Academy of Visual and Performing Arts. (March 2015)","Indiana",NA,NA,NA
"402",40,"Elkhart","Elkhart",NA,"Mar 6, 1901","$35,000","","Open 1903–1969, demolished 1970","Indiana",NA,NA,NA
"403",41,"Elwood","Elwood",NA,"Oct 3, 1901","$30,000","124 N. 16th St.","Open 1903–1997","Indiana",NA,NA,NA
"404",42,"Evansville East Branch","Evansville",NA,"Jan 6, 1911","$60,000","840 E. Chandler Ave. in the Bayard Park Neighborhood","Opened 1913","Indiana",NA,NA,NA
"405",43,"Evansville West Branch","Evansville",NA,"Jan 6, 1911","—","2000 W. Franklin St.","Opened 1913","Indiana",NA,NA,NA
"406",44,"Evansville Cherry Branch","Evansville",NA,"Jan 6, 1911","—","515 Cherry St.","Colored branch during segregation, open 1914–1955, demolished c.1970","Indiana",NA,NA,NA
"407",45,"Flora","Flora",NA,"Feb 3, 1917","$10,000","109 N. Center St.","","Indiana",NA,NA,NA
"408",46,"Fort Branch","Fort Branch",NA,"May 15, 1916","$10,000","107 E. Locust St.","","Indiana",NA,NA,NA
"409",47,"Fort Wayne","Fort Wayne",NA,"Mar 14, 1901","$90,000","","Demolished 1965","Indiana",NA,NA,NA
"410",48,"Fortville","Fortville",NA,"Mar 31, 1916","$10,000","115 N. Main St.","Open 1918–1986, now a church youth center","Indiana",NA,NA,NA
"411",49,"Fowler","Fowler",NA,"Apr 11, 1906","$7,500","102 N. Van Buren Ave.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"412",50,"Francesville","Francesville",NA,"Apr 19, 1915","$9,000","201 W. Montgomery St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"413",51,"Frankfort","Frankfort",NA,"Nov 24, 1905","$22,500","208 W. Clinton St.","","Indiana",NA,NA,NA
"414",52,"Franklin","Franklin",NA,"Apr 28, 1913","$17,500","196 E. Madison St.","Converted into condos in 1990s","Indiana",NA,NA,NA
"415",53,"Garrett","Garrett",NA,"Mar 14, 1913","$10,000","107 W. Houston St.","","Indiana",NA,NA,NA
"416",54,"Gary Central Branch","Gary",NA,"Apr 28, 1910","$90,000","","Open 1912–1962","Indiana",NA,NA,NA
"417",55,"Gary Bailey Branch","Gary",NA,"Apr 28, 1910","$25,000","1501 W. Madison St.","Opened 1918, the only Colonial Revival-style Carnegie library in Indiana","Indiana",NA,NA,NA
"418",56,"Gas City","Gas City",NA,"Jan 2, 1913","$12,500","135 E. Main St.","Has an addition and is still used as the public library. (February 2011)","Indiana",NA,NA,NA
"419",57,"Goshen","Goshen",NA,"Jan 15, 1901","$25,000","202 N. 5th St.","Open 1903–1968, now city hall","Indiana",NA,NA,NA
"420",58,"Grandview","Grandview",NA,"Sep 14, 1917","$8,000","403 Main St.","","Indiana",NA,NA,NA
"421",59,"Greencastle","Greencastle",NA,"Jan 22, 1902","$20,165","103 E. Poplar St.","","Indiana",NA,NA,NA
"422",60,"Greenfield","Greenfield",NA,"Mar 8, 1904","$10,000","100 W. North St.","Now a restaurant","Indiana",NA,NA,NA
"423",61,"Greensburg","Greensburg",NA,"Mar 14, 1902","$15,000","114 N. Michigan Ave.","Now a private residence.","Indiana",NA,NA,NA
"424",62,"Hammond","Hammond",NA,"Jan 14, 1904","$27,000","","","Indiana",NA,NA,NA
"425",63,"Hartford City","Hartford City",NA,"Jan 22, 1902","$16,000","314 N. High St.","Has an addition and is still used as the public library. (February 2011)","Indiana",NA,NA,NA
"426",64,"Hebron","Hebron",NA,"Sep 14, 1917","$10,000","201 W. Sigler St.","Has an addition and is still used as the public library. (July 2010)","Indiana",NA,NA,NA
"427",65,"Hobart","Hobart",NA,"Jan 14, 1914","$16,000","706 E. 4th St.","Open 1915–1968, the only Tudor Revival building in Hobart, now used by the Hobart Historical Society as a museum of local history. (July 2010)","Indiana",NA,NA,NA
"428",66,"Huntington","Huntington",NA,"Dec 21, 1901","$25,000","44 E. Park Dr.","","Indiana",NA,NA,NA
"429",67,"Indianapolis West Indianapolis Branch","Indianapolis",NA,"Jan 19, 1909","$100,000","1926 W. Morris St.","Open 1912–1986, demolished 1994","Indiana",NA,NA,NA
"430",68,"Indianapolis Madison Branch","Indianapolis",NA,"Jan 19, 1909","—","","Demolished 1968 to make way for I-70","Indiana",NA,NA,NA
"431",69,"Indianapolis Spades Park Branch","Indianapolis",NA,"Jan 19, 1909","—","1801 Nowland Ave.","Opened 1912","Indiana",NA,NA,NA
"432",70,"Indianapolis East Washington Branch","Indianapolis",NA,"Jan 19, 1909","—","2822 E. Washington St.","Opened 1911","Indiana",NA,NA,NA
"433",71,"Indianapolis Hawthorne Branch","Indianapolis",NA,"Jan 19, 1909","—","70 N. Mount St.","Now a community services center","Indiana",NA,NA,NA
"434",72,"Jeffersonville","Jeffersonville",NA,"Feb 15, 1902","$16,000","Warder Park","Open 1903–1970","Indiana",NA,NA,NA
"435",73,"Kendallville","Kendallville",NA,"Jul 13, 1912","$12,500","124 E. Rush St.","","Indiana",NA,NA,NA
"436",74,"Kentland","Kentland",NA,"Dec 2, 1909","$10,000","201 E. Graham St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"437",75,"Kewanna","Kewanna",NA,"May 21, 1913","$8,000","210 E. Main St.","","Indiana",NA,NA,NA
"438",76,"Kingman","Kingman",NA,"Jul 9, 1913","$8,000","123 W. State St.","","Indiana",NA,NA,NA
"439",77,"Kirklin","Kirklin",NA,"May 8, 1914","$7,500","115 N. Main St.","","Indiana",NA,NA,NA
"440",78,"Knightstown","Knightstown",NA,"Apr 25, 1911","$10,000","5 E. Main St.","Opened 1912","Indiana",NA,NA,NA
"441",79,"Kokomo","Kokomo",NA,"Mar 14, 1902","$25,000","","Demolished 1965","Indiana",NA,NA,NA
"442",80,"LaGrange","LaGrange",NA,"Nov 9, 1916","$12,500","203 W. Spring St.","Has an addition and is still used as the public library. (October 2010)","Indiana",NA,NA,NA
"443",81,"La Porte","La Porte",NA,"Mar 31, 1916","$27,500","904 Indiana Ave.","Has an addition and is still used as the public library. (December 2010)","Indiana",NA,NA,NA
"444",82,"Lawrenceburg","Lawrenceburg",NA,"Apr 13, 1914","$11,000","150 Mary St.","","Indiana",NA,NA,NA
"445",83,"Lebanon","Lebanon",NA,"Jan 6, 1903","$15,000","104 E. Washington St.","","Indiana",NA,NA,NA
"446",84,"Liberty","Liberty",NA,"Jan 6, 1915","$10,000","2 E. Seminary St.","","Indiana",NA,NA,NA
"447",85,"Ligonier","Ligonier",NA,"Apr 8, 1907","$10,000","300 S. Main St.","Renovations were done in 2013 by Kelty Tappy Design, Inc. in Fort Wayne, IN.","Indiana",NA,NA,NA
"448",86,"Linden","Linden",NA,"Jan 28, 1916","$7,500","102 S. Main St.","Opened 1922","Indiana",NA,NA,NA
"449",87,"Linton","Linton",NA,"Dec 24, 1907","$15,000","110 E. Vincennes St.","","Indiana",NA,NA,NA
"450",88,"Logansport","Logansport",NA,"Apr 26, 1902","$35,000","","Burned down in 1941","Indiana",NA,NA,NA
"451",89,"Lowell","Lowell",NA,"Mar 11, 1918","$12,500","","Open 1920–1969","Indiana",NA,NA,NA
"452",90,"Marion","Marion",NA,"Feb 18, 1901","$50,000","600 S. Washington St.","Has an addition and is still used as the public library. (February 2011)","Indiana",NA,NA,NA
"453",91,"Martinsville","Martinsville",NA,"Feb 13, 1906","$12,500","110 S. Jefferson St.","Has an addition and is still used as the public library (November 2018)","Indiana",NA,NA,NA
"454",92,"Merom","Merom",NA,"Nov 9, 1916","$10,000","8554 W. Market St.","","Indiana",NA,NA,NA
"455",93,"Milford","Milford",NA,"Dec 3, 1915","$10,000","101 N. Main St.","","Indiana",NA,NA,NA
"456",94,"Mishawaka","Mishawaka",NA,"Jan 6, 1915","$30,000","122 N. Hill St.","Now an event venue","Indiana",NA,NA,NA
"457",95,"Mitchell","Mitchell",NA,"May 8, 1914","$15,000","804 W. Main St.","","Indiana",NA,NA,NA
"458",96,"Monon","Monon",NA,"Dec 8, 1913","$10,000","427 N. Market St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"459",97,"Monterey","Monterey",NA,"Apr 3, 1917","$5,000","6260 E. Main St.","","Indiana",NA,NA,NA
"460",98,"Monticello","Monticello",NA,"Jan 16, 1906","$10,000","101 S. Bluff St.","Now county historical society","Indiana",NA,NA,NA
"461",99,"Montpelier","Montpelier",NA,"Feb 21, 1907","$10,000","301 S. Main St.","Has an addition and is still used as the public library. (February 2011)","Indiana",NA,NA,NA
"462",100,"Mooresville","Mooresville",NA,"Jan 2, 1913","$10,000","30 W. Main St.","","Indiana",NA,NA,NA
"463",101,"Mount Vernon","Mount Vernon",NA,"Dec 27, 1902","$14,000","520 Main St.","Currently functions as Mount Vernon City Hall/new library was built across the street in 1986","Indiana",NA,NA,NA
"464",102,"Muncie","Muncie",NA,"Mar 8, 1901","$55,000","301 E. Jackson St.","Currently functions as the genealogy center for Muncie Public Library.[4]","Indiana",NA,NA,NA
"465",103,"New Albany","New Albany",NA,"Mar 14, 1902","$40,000","201 E. Spring St.","The building has been converted to the Carnegie Center for Art & History.","Indiana",NA,NA,NA
"466",104,"New Carlisle","New Carlisle",NA,"Sep 14, 1917","$9,000","124 E. Michigan St.","Currently houses town offices","Indiana",NA,NA,NA
"467",105,"New Castle","New Castle",NA,"Jul 9, 1913","$20,000","376 S. 15th St.","","Indiana",NA,NA,NA
"468",106,"Newburgh","Newburgh",NA,"May 15, 1916","$10,000","23 W. Jennings St.","Now city hall","Indiana",NA,NA,NA
"469",107,"Noblesville","Noblesville",NA,"Dec 29, 1903","$12,500","16 S. 10th St.","Extensively altered, now city hall","Indiana",NA,NA,NA
"470",108,"North Judson","North Judson",NA,"Sep 14, 1917","$10,000","208 Keller Ave.","","Indiana",NA,NA,NA
"471",109,"North Manchester","North Manchester",NA,"Apr 8, 1910","$10,000","204 W. Main St.","Open 1912–1995, now law offices","Indiana",NA,NA,NA
"472",110,"North Vernon","North Vernon",NA,"Feb 8, 1918","$20,000","143 E. Walnut St.","Open 1920–1997, now city hall","Indiana",NA,NA,NA
"473",111,"Orleans","Orleans",NA,"Jan 6, 1915","$10,000","174 N. Maple St.","","Indiana",NA,NA,NA
"474",112,"Osgood","Osgood",NA,"Jan 9, 1913","$9,000","136 W. Ripley St.","","Indiana",NA,NA,NA
"475",113,"Owensville","Owensville",NA,"Dec 3, 1915","$12,500","110 S. Main St.","","Indiana",NA,NA,NA
"476",114,"Oxford","Oxford",NA,"Jan 14, 1914","$8,000","201 E. Smith St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"477",115,"Paoli","Paoli",NA,"Jan 31, 1913","$8,000","147 E. Court Street","Building is still owned by library. New location (2010) is located at 100 W. Water St.","Indiana",NA,NA,NA
"478",116,"Pendleton","Pendleton",NA,"Apr 25, 1911","$8,000","424 E. State St.","Open 1911–1991, currently an alternative school.","Indiana",NA,NA,NA
"479",117,"Peru","Peru",NA,"Mar 8, 1901","$25,000","102 E. Main St.","","Indiana",NA,NA,NA
"480",118,"Pierceton","Pierceton",NA,"Dec 3, 1915","$10,000","101 Catholic St.","","Indiana",NA,NA,NA
"481",119,"Plainfield","Plainfield",NA,"Nov 21, 1911","$9,000","120 S. Center St.","Open 1913–1968, now the headquarters for Triangle Fraternity","Indiana",NA,NA,NA
"482",120,"Plymouth","Plymouth",NA,"Jan 6, 1911","$15,000","","Demolished 1976","Indiana",NA,NA,NA
"483",121,"Portland","Portland",NA,"Mar 12, 1901","$15,000","","Demolished 2000","Indiana",NA,NA,NA
"484",122,"Poseyville","Poseyville",NA,"Jan 2, 1904","$5,500","55 S. Cale St.","Opened 1905","Indiana",NA,NA,NA
"485",123,"Princeton","Princeton",NA,"Jan 22, 1903","$15,000","124 S. Hart St.","","Indiana",NA,NA,NA
"486",124,"Remington","Remington",NA,"Mar 16, 1915","$10,000","","Burned down in 1960","Indiana",NA,NA,NA
"487",125,"Rensselaer","Rensselaer",NA,"Jan 13, 1903","$12,000","301 N. Van Rensselaer St.","Now an art gallery","Indiana",NA,NA,NA
"488",126,"Rising Sun","Rising Sun",NA,"Dec 3, 1915","$10,000","100 Main St.",NA,"Indiana",NA,NA,NA
"489",127,"Roachdale","Roachdale",NA,"Jan 31, 1913","$10,000","100 E. Washington St.","","Indiana",NA,NA,NA
"490",128,"Roann","Roann",NA,"Jun 11, 1914","$10,000","240 S. Chippewa Rd.","Still operating as a township library.","Indiana",NA,NA,NA
"491",129,"Rochester","Rochester",NA,"Dec 20, 1904","$15,000","802 Jefferson St.","Used as a private residence.","Indiana",NA,NA,NA
"492",130,"Rockport","Rockport",NA,"Jan 5, 1916","$17,000","210 Walnut St.","","Indiana",NA,NA,NA
"493",131,"Rockville","Rockville",NA,"Apr 13, 1914","$12,500","106 N. Market St.","","Indiana",NA,NA,NA
"494",132,"Royal Center","Royal Center",NA,"Sep 25, 1914","$10,000","203 S. Chicago St.","","Indiana",NA,NA,NA
"495",133,"Salem","Salem",NA,"Feb 20, 1904","$16,000","212 N. Main St.","","Indiana",NA,NA,NA
"496",134,"Scottsburg","Scottsburg",NA,"Nov 22, 1917","$12,500","108 S. Main St.","Still used as a library.  Has been expanded.","Indiana",NA,NA,NA
"497",135,"Seymour","Seymour",NA,"Feb 2, 1903","$10,000","303 W. 2nd St.","","Indiana",NA,NA,NA
"498",136,"Shelbyville","Shelbyville",NA,"Dec 30, 1901","$20,000","57 W. Broadway St.","Still used as a public library. Additions in 1966 and 1994","Indiana",NA,NA,NA
"499",137,"Sheridan","Sheridan",NA,"Dec 7, 1911","$12,500","103 W. 1st St.","","Indiana",NA,NA,NA
"500",138,"Shoals","Shoals",NA,"Mar 14, 1913","$10,000","404 High St.","","Indiana",NA,NA,NA
"501",139,"Spencer","Spencer",NA,"Jan 6, 1911","$10,000","110 E. Market St.","Owen County Heritage & Culture Center","Indiana",NA,NA,NA
"502",140,"Sullivan","Sullivan",NA,"Jan 13, 1903","$11,000","100 S. Crowder St.","","Indiana",NA,NA,NA
"503",141,"Syracuse","Syracuse",NA,"Feb 3, 1917","$10,000","115 E. Main St.","","Indiana",NA,NA,NA
"504",142,"Tell City","Tell City",NA,"Mar 31, 1916","$10,000","548 9th St.","Currently used as a Historical Society Museum","Indiana",NA,NA,NA
"505",143,"Thorntown","Thorntown",NA,"Sep 27, 1912","$10,000","124 N. Market St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"506",144,"Tipton","Tipton",NA,"Mar 14, 1902","$13,000","","Demolished 1980","Indiana",NA,NA,NA
"507",145,"Union City","Union City",NA,"Nov 25, 1903","$10,000","408 N. Columbia St.","","Indiana",NA,NA,NA
"508",146,"Valparaiso","Valparaiso",NA,"Apr 22, 1906","$20,000","","Demolished in 1994 for a new library building","Indiana",NA,NA,NA
"509",147,"Van Buren","Van Buren",NA,"May 3, 1917","$10,000","115 S. 1st St.","Has an addition and is still used as the public library. (April 2011)","Indiana",NA,NA,NA
"510",148,"Vevay","Vevay",NA,"Nov 7, 1917","$12,500","210 Ferry St.","Now Vevay town hall","Indiana",NA,NA,NA
"511",149,"Vincennes","Vincennes",NA,"Mar 21, 1910","$35,000","502 N. 7th St.","","Indiana",NA,NA,NA
"512",150,"Wabash","Wabash",NA,"Mar 7, 1901","$20,000","188 W. Hill St.","Still operating as library with an addition.","Indiana",NA,NA,NA
"513",151,"Walton","Walton",NA,"Nov 17, 1914","$10,000","110 N. Main St.","","Indiana",NA,NA,NA
"514",152,"Warren","Warren",NA,"Apr 3, 1917","$10,000","123 E. 3rd St.","Still operating as a public library.","Indiana",NA,NA,NA
"515",153,"Warsaw","Warsaw",NA,"Sep 29, 1915","$15,000","310 E. Main St.","Still operating as a library with an addition.","Indiana",NA,NA,NA
"516",154,"Washington","Washington",NA,"Mar 8, 1901","$20,000","300 W. Main St.","","Indiana",NA,NA,NA
"517",155,"Waterloo","Waterloo",NA,"Mar 14, 1913","$9,000","300 S. Wayne St.","","Indiana",NA,NA,NA
"518",156,"Waveland","Waveland",NA,"Feb 26, 1914","$10,000","115 Green St.","Still in use as a public library.[5]","Indiana",NA,NA,NA
"519",157,"West Lebanon","West Lebanon",NA,"Apr 19, 1915","$7,500","200 N. High St.","Has an addition and is still used as the public library. (July 2011)","Indiana",NA,NA,NA
"520",158,"Westfield","Westfield",NA,"Apr 8, 1910","$9,000","104 W. Main St.","Open 1911–1983, now a print shop","Indiana",NA,NA,NA
"521",159,"Westville","Westville",NA,"Dec 8, 1913","$8,000","153 W. Main St.","Expanded and still in use as the community library (May 2011)","Indiana",NA,NA,NA
"522",160,"Whiting","Whiting",NA,"Dec 30, 1904","$15,000","1735 Oliver St.","","Indiana",NA,NA,NA
"523",161,"Williamsport","Williamsport",NA,"Mar 31, 1916","$8,000","Fall St.","Open 1917–2002, now a private residence","Indiana",NA,NA,NA
"524",162,"Winamac","Winamac",NA,"Jan 6, 1911","$10,000","121 S. Riverside Dr.","","Indiana",NA,NA,NA
"525",163,"Winchester","Winchester",NA,"Apr 23, 1906","$12,000","125 N. East St.","Grant was received in 1906, building was completed in 1915.  New addition added in the 1990s.","Indiana",NA,NA,NA
"526",164,"Worthington","Worthington",NA,"Apr 3, 1917","$10,000","26 N. Commercial St.","","Indiana",NA,NA,NA
"527",1,"Albia","Albia",NA,"Apr 11, 1905","$10,000","203 E. Benton Ave.41°01′40″N 92°48′21″W﻿ / ﻿41.027733°N 92.805827°W﻿ / 41.027733; -92.805827﻿ (Albia Public Library)","Opened March 21, 1906.","Iowa",NA,NA,NA
"528",2,"Alden","Alden",NA,"Nov 3, 1913","$9,000","1012 Water St.42°31′12″N 93°22′28″W﻿ / ﻿42.519925°N 93.374412°W﻿ / 42.519925; -93.374412﻿ (Alden Public Library)","This is the smallest community in the United States to be granted a Carnegie library, with a population of just 699 in 1900. A Wetherell and Gage design in the Beaux-Arts style, it was opened August 26, 1914.","Iowa",NA,NA,NA
"529",3,"Algona","Algona",NA,"Mar 27, 1903","$10,000","110 E. Nebraska St.43°04′07″N 94°14′12″W﻿ / ﻿43.068480°N 94.236624°W﻿ / 43.068480; -94.236624﻿ (Algona Public Library)","This Patton and Miller of Chicago design is now a private business. It was in use as a library from March 25, 1905 until 1983.","Iowa",NA,NA,NA
"530",4,"Ames","Ames",NA,"Feb 2, 1903","$16,000","515 Douglas Ave.42°01′36″N 93°36′44″W﻿ / ﻿42.026679°N 93.612142°W﻿ / 42.026679; -93.612142﻿ (Ames Public Library)","Opened October 20, 1904, this building has been expanded twice to accommodate growing demand. It was designed by Hawlett and Rawson of Des Moines.","Iowa",NA,NA,NA
"531",5,"Atlantic","Atlantic",NA,"Mar 14, 1902","$12,500","507 Poplar St.41°24′24″N 95°00′52″W﻿ / ﻿41.406541°N 95.014400°W﻿ / 41.406541; -95.014400﻿ (Atlantic Public Library)","Opened December 28, 1903.","Iowa",NA,NA,NA
"532",6,"Audubon","Audubon",NA,"Mar 29, 1911","$9,000","401 N. Park Pl.41°43′20″N 94°55′54″W﻿ / ﻿41.722195°N 94.931660°W﻿ / 41.722195; -94.931660﻿ (Audubon Public Library)","Dedicated on December 3, 1912.","Iowa",NA,NA,NA
"533",7,"Bedford","Bedford",NA,"Apr 8, 1907","$10,000","507 Jefferson St.40°40′07″N 94°43′13″W﻿ / ﻿40.668579°N 94.720280°W﻿ / 40.668579; -94.720280﻿ (Bedford Public Library)","Dedicated on January 25, 1916 and opened on January 26, 1916.","Iowa",NA,NA,NA
"534",8,"Bloomfield","Bloomfield",NA,"Nov 21, 1911","$10,000","107 N. Columbia St.40°45′09″N 92°24′59″W﻿ / ﻿40.752589°N 92.416391°W﻿ / 40.752589; -92.416391﻿ (Bloomfield Public Library)","Opened August 8, 1913, this building was designed by Wetherall and Gage of Des Moines.","Iowa",NA,NA,NA
"535",9,"Britt","Britt",NA,"Mar 31, 1916","$8,000","","Dedicated June 20, 1918, this building was razed in 1968.","Iowa",NA,NA,NA
"536",10,"Carroll","Carroll",NA,"Feb 12, 1903","$10,000","123 E. 6th St.42°03′58″N 94°52′01″W﻿ / ﻿42.066132°N 94.866879°W﻿ / 42.066132; -94.866879﻿ (Carroll Public Library)","Dedicated September 2, 1905, this building is now the Carroll County Historical Museum.","Iowa",NA,NA,NA
"537",11,"Cedar Falls","Cedar Falls",NA,"Mar 14, 1902","$15,000","Main St. & W. 6th St.42°32′00″N 92°26′44″W﻿ / ﻿42.533319°N 92.445509°W﻿ / 42.533319; -92.445509﻿ (Cedar Falls Public Library)","Dedicated on September 24, 1903, this building housed the library for Cedar Falls until 2001, when it was demolished for construction of a new library.","Iowa",NA,NA,NA
"538",12,"Cedar Rapids","Cedar Rapids",NA,"Feb 19, 1901","$75,000","410 3rd Ave. SE41°58′44″N 91°39′52″W﻿ / ﻿41.978938°N 91.664579°W﻿ / 41.978938; -91.664579﻿ (Cedar Rapids Public Library)","Now the Cedar Rapids Museum of Art, this Josselyn and Taylor building opened on June 23, 1905 and served as the library until 1985.","Iowa",NA,NA,NA
"539",13,"Chariton","Chariton",NA,"Jan 13, 1903","$11,000","803 Braden Ave.41°00′58″N 93°18′18″W﻿ / ﻿41.016158°N 93.304996°W﻿ / 41.016158; -93.304996﻿ (Chariton Public Library)","A Patton and Miller work, this building opened October 28, 1904.","Iowa",NA,NA,NA
"540",14,"Charles City","Charles City",NA,"Jan 2, 1903","$12,500","301 N. Jackson St.43°04′09″N 92°40′45″W﻿ / ﻿43.069248°N 92.679141°W﻿ / 43.069248; -92.679141﻿ (Charles City Public Library)","Now the Charles City Art Center, this library opened November 24, 1904 and was designed by Patton and Miller.","Iowa",NA,NA,NA
"541",15,"Cherokee","Cherokee",NA,"Jan 6, 1903","$12,000","215 S. 2nd St.42°45′03″N 95°33′05″W﻿ / ﻿42.750794°N 95.551357°W﻿ / 42.750794; -95.551357﻿ (Cherokee Public Library)","Dedicated May 2, 1905, this building was designed by Wetherall and Gage.","Iowa",NA,NA,NA
"542",16,"Clarinda","Clarinda",NA,"Feb 21, 1907","$15,000","300 N. 16th St.40°44′27″N 95°02′16″W﻿ / ﻿40.740917°N 95.037854°W﻿ / 40.740917; -95.037854﻿ (Clarinda Public Library)","Dedicated April 15, 1909, this building served the city until 2004 and now houses an art museum.","Iowa",NA,NA,NA
"543",17,"Clear Lake","Clear Lake",NA,"Mar 31, 1916","$8,500","200 N. 4th St.43°08′19″N 93°22′57″W﻿ / ﻿43.138636°N 93.382545°W﻿ / 43.138636; -93.382545﻿ (Clear Lake Public Library)","Opened June 7, 1918, this library was expanded in 2002 by adjoining with a neighboring building.","Iowa",NA,NA,NA
"544",18,"Clinton","Clinton",NA,"Aug 24, 1901","$45,000","306 8th Ave. S.41°50′18″N 90°11′28″W﻿ / ﻿41.838395°N 90.190995°W﻿ / 41.838395; -90.190995﻿ (Clinton Public Library)","Opened November 8, 1904, this building was designed by Patton and Miller.","Iowa",NA,NA,NA
"545",19,"Colfax","Colfax",NA,"Dec 2, 1904","$6,500","25 W. Division St.41°40′40″N 93°14′44″W﻿ / ﻿41.677656°N 93.245451°W﻿ / 41.677656; -93.245451﻿ (Colfax Public Library)","Opened May 14, 1913.","Iowa",NA,NA,NA
